DATE,Ag Equipment Parts,Ag Harvest Equip.,Haying Equipment,Planting/Fertizer Equip.,Ag Attachments
2015-01-01,130.5,222.8,219.0,144.7,173.4
2015-02-01,130.4,222.8,220.2,144.7,173.4
2015-03-01,130.4,222.8,220.2,144.7,173.4
2015-04-01,129.1,223.5,220.2,143.1,173.4
2015-05-01,128.8,223.5,220.2,143.4,174.4
2015-06-01,128.9,223.5,220.2,144.3,174.4
2015-07-01,127.2,223.5,220.2,143.9,174.4
2015-08-01,126.9,223.5,220.2,143.9,174.4
2015-09-01,126.7,223.5,220.4,144.8,174.2
2015-10-01,126.5,224.6,220.4,144.8,174.4
2015-11-01,126.8,226.9,220.7,144.8,174.4
2015-12-01,126.7,226.8,220.7,144.9,174.4
2016-01-01,126.3,226.9,220.7,144.9,174.4
2016-02-01,125.7,228.5,220.7,145.0,174.4
2016-03-01,125.8,228.5,220.7,145.0,175.6
2016-04-01,125.4,228.5,222.1,145.0,175.6
2016-05-01,124.8,228.3,224.9,145.5,175.8
2016-06-01,124.8,228.0,224.9,145.4,175.8
2016-07-01,125.6,228.0,224.9,145.0,175.8
2016-08-01,127.8,228.2,224.9,145.0,175.8
2016-09-01,127.3,228.1,226.1,145.4,175.8
2016-10-01,128.4,230.3,226.1,146.6,176.7
2016-11-01,128.5,230.3,226.7,146.6,176.7
2016-12-01,128.6,230.1,226.7,146.7,176.7
2017-01-01,127.3,230.3,226.4,146.8,176.7
2017-02-01,127.2,230.3,225.8,146.8,176.7
2017-03-01,127.2,230.3,225.8,146.8,176.7
2017-04-01,128.4,230.1,225.3,146.8,176.6
2017-05-01,128.8,229.9,225.3,147.0,176.6
2017-06-01,128.9,229.9,225.2,147.2,176.6
2017-07-01,129.0,230.0,225.2,146.4,176.6
2017-08-01,129.0,230.1,225.4,148.7,177.6
2017-09-01,129.0,231.6,227.0,148.2,177.6
2017-10-01,129.0,231.7,227.0,148.2,177.6
2017-11-01,129.0,231.7,225.5,148.2,177.6
2017-12-01,129.0,231.7,225.5,148.3,177.6
2018-01-01,129.0,231.8,225.5,148.4,177.8
2018-02-01,128.9,231.7,225.5,148.4,177.8
2018-03-01,129.2,231.7,225.5,148.4,177.8
2018-04-01,130.0,231.7,225.5,148.4,177.8
2018-05-01,131.8,231.7,225.5,148.6,180.2
2018-06-01,132.3,231.7,225.6,148.8,182.2
2018-07-01,134.2,234.6,228.0,154.1,191.8
2018-08-01,136.4,234.6,228.3,154.2,191.8
2018-09-01,136.9,236.4,234.9,155.8,191.8
2018-10-01,137.4,240.8,235.1,155.8,191.8
2018-11-01,137.4,242.7,235.1,156.0,191.8
2018-12-01,137.4,242.7,235.1,156.0,192.6
2019-01-01,137.5,242.7,235.1,155.0,192.6
2019-02-01,137.2,242.7,235.1,155.8,193.3
2019-03-01,137.4,242.7,235.5,156.7,193.3
2019-04-01,137.3,242.7,237.0,156.7,193.3
2019-05-01,137.0,242.0,237.0,156.7,193.3
2019-06-01,136.7,242.1,237.0,156.7,193.3
2019-07-01,137.2,242.1,237.0,161.0,193.3
2019-08-01,136.8,242.5,239.7,155.2,193.3
2019-09-01,137.0,242.4,241.1,155.2,193.3
2019-10-01,136.8,242.4,241.1,155.2,193.3
2019-11-01,136.7,243.0,242.7,155.2,193.5
2019-12-01,136.7,251.7,242.7,156.3,193.5
2020-01-01,136.8,256.1,242.1,157.6,194.2
2020-02-01,137.5,256.1,242.1,158.5,194.6
2020-03-01,137.4,256.1,242.2,159.1,194.6
2020-04-01,137.4,255.8,242.7,159.4,194.6
2020-05-01,137.6,255.8,242.7,159.4,194.6
2020-06-01,137.1,255.7,242.7,159.4,194.6
2020-07-01,137.7,255.7,242.7,159.7,194.6
2020-08-01,137.2,255.8,244.7,154.7,194.6
2020-09-01,137.1,255.8,245.7,155.0,194.6
2020-10-01,137.2,258.3,244.4,155.0,194.6
2020-11-01,137.0,259.2,244.4,155.0,194.6
2020-12-01,137.0,259.2,244.4,156.6,194.6
2021-01-01,137.3,259.2,243.5,158.5,195.0
2021-02-01,138.2,259.0,244.9,158.0,197.4
2021-03-01,138.8,259.6,245.2,158.7,198.6
2021-04-01,139.6,259.7,248.8,159.8,199.9
2021-05-01,143.4,259.7,248.8,160.9,204.3
2021-06-01,151.3,260.4,250.9,164.5,204.7
2021-07-01,152.5,263.2,254.1,174.5,206.0
2021-08-01,154.3,263.2,255.9,167.2,216.0
2021-09-01,155.9,269.5,257.7,167.2,217.6
2021-10-01,156.8,276.9,257.7,167.3,219.5
