DATE,Industrial Production of Steel for Durable Goods,Industrial Production of Machinery
2015-01-01,108.9277,110.1684
2015-02-01,101.312,109.5123
2015-03-01,94.6662,107.3809
2015-04-01,98.4872,106.0928
2015-05-01,99.5094,105.6257
2015-06-01,103.8577,103.3836
2015-07-01,103.9283,102.9758
2015-08-01,100.8746,103.4607
2015-09-01,99.0916,101.6441
2015-10-01,98.7346,99.7823
2015-11-01,90.6981,98.3463
2015-12-01,91.2006,96.4778
2016-01-01,94.0119,96.6715
2016-02-01,95.5308,96.0248
2016-03-01,96.2988,95.4288
2016-04-01,97.4463,95.7973
2016-05-01,98.15,95.5365
2016-06-01,100.1616,97.1224
2016-07-01,95.6045,98.4325
2016-08-01,95.0315,96.3243
2016-09-01,94.8899,94.1621
2016-10-01,93.3974,94.4494
2016-11-01,95.1882,94.1267
2016-12-01,96.1386,95.4543
2017-01-01,100.1119,96.6807
2017-02-01,99.7155,95.8781
2017-03-01,98.4306,97.143
2017-04-01,99.8955,100.1109
2017-05-01,98.9394,100.5343
2017-06-01,100.2977,101.1426
2017-07-01,99.485,100.6489
2017-08-01,100.3113,98.7853
2017-09-01,100.1819,101.3987
2017-10-01,100.5374,101.9818
2017-11-01,101.1183,102.691
2017-12-01,101.5281,103.0047
2018-01-01,102.0553,101.7908
2018-02-01,103.517,102.1341
2018-03-01,105.4541,102.0563
2018-04-01,104.1167,104.2147
2018-05-01,106.8765,103.5818
2018-06-01,105.221,104.0513
2018-07-01,107.1044,105.3276
2018-08-01,106.8626,106.3965
2018-09-01,108.6424,106.3991
2018-10-01,109.5871,106.6281
2018-11-01,107.1777,108.0447
2018-12-01,106.218,104.7426
2019-01-01,102.4156,105.1317
2019-02-01,102.259,104.0457
2019-03-01,102.2259,104.0015
2019-04-01,102.5245,101.0668
2019-05-01,99.1495,102.4507
2019-06-01,99.3827,101.3183
2019-07-01,99.4481,100.094
2019-08-01,97.9971,101.5745
2019-09-01,96.862,99.2727
2019-10-01,96.9031,98.8362
2019-11-01,97.5747,99.2932
2019-12-01,97.6594,99.8688
2020-01-01,100.3253,100.3322
2020-02-01,96.7045,101.6668
2020-03-01,90.0821,98.6839
2020-04-01,66.2805,80.8782
2020-05-01,65.4441,85.1753
2020-06-01,68.1093,89.5912
2020-07-01,69.9809,93.8198
2020-08-01,78.0971,96.9151
2020-09-01,83.0895,97.6092
2020-10-01,83.8464,99.7685
2020-11-01,87.2717,98.4653
2020-12-01,88.6957,99.1194
2021-01-01,91.8293,103.7112
2021-02-01,89.9684,101.0276
2021-03-01,92.7418,103.7951
2021-04-01,97.883,103.4698
2021-05-01,97.7847,104.6263
2021-06-01,99.1497,103.8522
2021-07-01,98.4788,107.0202
2021-08-01,98.9158,105.9088
2021-09-01,99.0493,106.6074
2021-10-01,,105.2497
