DATE,1 M (%),3 M (%),6 M (%),1 Y (%),2 Y (%),5 Y (%),10 Y (%),20 Y (%),30 Y (%)
2020-01-31,1.5333333333333334,1.5523809523809524,1.5633333333333332,1.5328571428571427,1.5190476190476192,1.5623809523809524,1.7576190476190479,2.067142857142857,2.216190476190476
2020-02-29,1.5763157894736843,1.5447368421052632,1.5094736842105263,1.4057894736842105,1.3310526315789473,1.3236842105263158,1.5042105263157897,1.8068421052631578,1.9705263157894735
2020-03-31,0.3704545454545455,0.29545454545454547,0.2972727272727273,0.3318181818181818,0.4481818181818182,0.5918181818181818,0.87,1.2572727272727273,1.4549999999999998
2020-04-30,0.11,0.1380952380952381,0.16904761904761906,0.1842857142857143,0.2247619047619048,0.3880952380952381,0.6576190476190477,1.0642857142857143,1.2652380952380953
2020-05-31,0.0985,0.1275,0.1535,0.1615,0.1705,0.3395,0.674,1.1244999999999998,1.378
2020-06-30,0.13,0.15954545454545455,0.18,0.17636363636363636,0.18500000000000003,0.34454545454545454,0.7286363636363636,1.2663636363636364,1.4936363636363637
2020-07-31,0.10590909090909091,0.12681818181818183,0.14136363636363639,0.14545454545454548,0.1481818181818182,0.2786363636363636,0.6236363636363637,1.0918181818181818,1.3104545454545453
2020-08-31,0.08238095238095237,0.10428571428571429,0.11952380952380952,0.1304761904761905,0.13952380952380952,0.26666666666666666,0.65,1.1352380952380952,1.358095238095238
2020-09-30,0.08952380952380953,0.10857142857142857,0.11857142857142858,0.12761904761904763,0.13476190476190478,0.26952380952380955,0.6795238095238095,1.2090476190476191,1.4228571428571428
2020-10-31,0.08666666666666667,0.10047619047619047,0.11380952380952382,0.12666666666666668,0.14952380952380953,0.3357142857142857,0.7871428571428571,1.340952380952381,1.5685714285714285
2020-11-30,0.08684210526315789,0.09105263157894737,0.10210526315789474,0.11736842105263158,0.16578947368421051,0.3878947368421053,0.8700000000000001,1.401578947368421,1.615263157894737
2020-12-31,0.07636363636363637,0.08727272727272727,0.09272727272727273,0.10045454545454545,0.13590909090909092,0.3859090909090909,0.9336363636363636,1.4663636363636363,1.6704545454545454
2021-01-31,0.07631578947368421,0.08368421052631579,0.09210526315789473,0.10052631578947369,0.1310526315789474,0.44526315789473686,1.0810526315789473,1.63,1.8247368421052632
2021-02-28,0.03578947368421053,0.04263157894736842,0.056842105263157895,0.07263157894736842,0.11526315789473685,0.5426315789473685,1.2578947368421052,1.8794736842105264,2.0426315789473684
2021-03-31,0.024347826086956525,0.03130434782608695,0.05260869565217391,0.07565217391304348,0.14695652173913046,0.8230434782608695,1.6108695652173912,2.237391304347826,2.3391304347826085
2021-04-30,0.01636363636363636,0.02090909090909091,0.03909090909090909,0.06090909090909091,0.16318181818181818,0.8618181818181818,1.635,2.1977272727272728,2.2995454545454543
2021-05-31,0.0075,0.018,0.0355,0.0505,0.155,0.8195,1.621,2.2150000000000003,2.316
2021-06-30,0.02727272727272727,0.03590909090909091,0.05,0.06681818181818182,0.20272727272727273,0.8386363636363636,1.5190909090909093,2.0936363636363637,2.1636363636363636
2021-07-31,0.049523809523809526,0.05238095238095238,0.05333333333333334,0.07571428571428572,0.21952380952380954,0.7642857142857143,1.3185714285714287,1.869047619047619,1.9428571428571426
2021-08-31,0.041363636363636366,0.05454545454545454,0.05545454545454545,0.07363636363636364,0.21727272727272728,0.7722727272727273,1.2831818181818182,1.830909090909091,1.9163636363636363
2021-09-30,0.053809523809523814,0.0419047619047619,0.05238095238095238,0.07714285714285715,0.24095238095238097,0.8638095238095238,1.3747619047619049,1.8728571428571428,1.9357142857142857
2021-10-31,0.05444444444444444,0.04666666666666667,0.060000000000000005,0.09666666666666666,0.31555555555555553,1.0155555555555555,1.5444444444444445,2.0277777777777777,2.0811111111111114
